gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,ChargesPerMonth,IsNewCustomer,IsHighSpender
1,0,1,0,0.14776814652229667,1,1,1.0182929511828682,0.5263688276613012,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,0.5363217948848654,0,1
0,0,1,1,0.9214550572028734,1,1,0.142525932095321,0.6890099660701949,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,0.1220092808261665,0,0
0,0,0,0,-0.055833672077855064,1,1,0.6643301901474837,0.14634306234540656,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,0.33590437491525965,0,1
0,1,1,1,-0.1779947632379461,0,1,-0.9592454790148186,-0.5775733510801726,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,-0.45233300365149093,0,0
1,0,0,0,-0.6666391278783103,1,0,-1.5225946620711341,-0.8631445247495343,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,-0.6875295371809939,0,0
1,0,0,0,-1.0738427650786138,1,0,-1.4827115340671475,-0.9498069988800061,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,-0.6970463534595777,0,0
1,1,1,0,-0.21871512695797646,1,1,0.7025515211513048,-0.027290921737703904,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,0.2969066034335989,0,1
1,0,0,0,1.0436161483629645,1,1,-1.3115464430500368,-0.3565244422817659,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,-0.5930377455390935,0,0
1,0,1,1,1.6137012404433893,1,1,1.3340343812144315,2.40638825181264,False,True,True,False,False,True,False,True,False,True,False,True,False,False,False,True,False,True,True,False,False,0.7334755749486371,0,1
0,0,0,0,-0.1779947632379461,0,1,-0.9642308700153169,-0.5829814779680904,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,-0.4592560731310586,0,0
1,0,1,1,0.3106496014024181,1,1,0.6743009721484804,0.4740314037786349,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,0.33879498902984306,0,1
1,0,0,0,-1.2774445836787656,1,0,-1.4710789550659844,-0.998369770934779,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,-0.8345994686294126,1,0
0,0,0,0,-1.1145631287986442,1,1,0.5064594751317021,-0.8253097105214068,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,0.12417501072458509,1,1
0,0,0,0,-1.2774445836787656,1,1,0.14751132309581955,-0.9768697073068933,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,-0.43551983491539814,1,0
0,0,0,1,-0.8295205827584317,1,1,1.3473287572157604,-0.4442464678025236,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,0.6056424317177366,0,1
1,0,0,0,-1.1145631287986442,1,1,1.0415581091851935,-0.8072531889119503,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,0.23589545575472323,1,1
1,0,1,0,1.5729808767233588,1,1,0.7091987091519689,1.6617222903272941,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,0.37363392618613445,0,1
1,0,0,0,-1.1960038562387048,1,1,0.40508985812156867,-0.9065861317512584,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,-0.0667604197792452,1,1
0,0,1,0,-0.0965540357978854,1,0,-1.4993295040688086,-0.7178756143438708,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,-0.655850281163415,0,0
0,0,1,0,-0.30015585439803716,1,1,-1.481049737066981,-0.7831925427575401,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,-0.6824310535629727,0,0
1,0,1,1,0.7992939660427822,1,0,-1.3364733980525287,-0.41978848987675627,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,-0.5909863304790887,0,0
0,1,0,0,0.5549717837226001,1,1,1.503537675231376,1.144705359842345,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,True,True,False,False,True,False,0.6972951400361919,0,1
1,0,0,0,-0.9516816739185228,1,1,0.19071804510013865,-0.7434593656218169,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,-0.022673183036300722,0,1
0,0,1,0,-0.5444780367182193,1,1,0.7341256641544608,-0.31676919115874497,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,0.279381751228557,0,1
0,0,0,0,-0.8295205827584317,1,1,-0.5105602889699654,-0.7373890191149703,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,-0.23147295854006025,0,0
1,1,1,0,0.5142514200025698,1,1,1.1279715531938321,0.9906289285049295,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,0.6099041997633459,0,1
0,0,1,1,0.14776814652229667,1,1,1.3207400052131024,0.6194106841207865,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,0.6296744035814952,0,1
1,0,0,0,0.22920887396235737,1,1,1.0083221691818711,0.6221699325329895,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,0.5485950350171863,0,1
1,0,1,1,-1.2774445836787656,1,0,-1.5142856770703037,-0.9989436946045173,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,-0.8452525184000126,1,0
1,0,1,0,-0.9109613101984924,1,1,1.1213243651931677,-0.5492744993646186,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,0.543592284909745,0,1
1,0,1,1,-0.7888002190384014,1,0,-0.6634456129852487,-0.760544631790178,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.3479541071306863,0,0
1,0,0,0,-0.5851984004382496,1,1,0.572931355138347,-0.3781128018588421,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,False,True,False,False,0.2269963494011451,0,1
0,0,1,0,0.18848851024232702,0,0,-0.6435040489832552,-0.3040987224499089,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,-0.3154897235324844,0,0
1,0,0,1,-1.1145631287986442,1,0,-1.4760643460664828,-0.9535595767206022,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,-0.6693406196239514,1,0
1,0,0,0,-0.8702409464784621,1,0,0.3386179781149237,-0.6473933729025573,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,0.1112001424142389,0,1
1,0,0,1,1.2879383306831464,1,1,1.1429277261953275,1.7170397024951398,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False,False,0.5534361842620508,0,1
1,0,0,0,-1.2774445836787656,1,0,-0.30615925794953225,-0.9828959058391444,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,-0.547376857506698,1,0
1,1,1,0,0.18848851024232702,1,1,0.9219087251732329,0.5260156438645394,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,0.4954790814739583,0,1
0,0,1,1,0.6364125111626608,1,1,1.3456669602155942,1.1988749246707142,False,True,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,0.6689522419291286,0,1
1,1,1,0,-0.5037576729981889,1,1,0.9900424021800438,-0.16876310632817604,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,0.47997906863055795,0,1
0,0,0,0,-0.2594354906780068,1,1,0.1574821050968162,-0.21273448902504313,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,0.09006097100334744,0,0
0,0,0,0,-0.0965540357978854,1,0,-1.5076384890696393,-0.7520240726932951,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,-0.6967442464118472,0,0
0,0,0,0,1.4915401492832983,1,1,0.07106866108817798,1.0136300232690534,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,0.06924741784144765,0,0
1,0,1,1,1.247217966963116,1,1,0.8188773111629334,1.463828994204095,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,0.4308727284591778,0,1
1,0,1,0,-1.1145631287986442,1,0,-1.5093002860698053,-0.9517715837494946,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,-0.6582778371698669,1,0
1,0,1,0,0.26992923768238775,1,1,-1.4727407520661506,-0.6586511064243455,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,-0.6789010489052592,0,0
1,0,0,1,-1.1552834925186746,1,1,1.2276793732037996,-0.8464786643398282,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,0.19235452925642488,1,1
1,0,1,0,1.125056875803025,1,0,1.2093996062019723,1.6712141048652724,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,True,False,False,0.6275819893547148,0,1
1,0,1,1,-0.5444780367182193,1,0,1.2808568772091153,-0.1188538210482482,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,0.6467480752408624,0,1
0,0,1,0,-0.8702409464784621,1,1,1.2376501552047963,-0.5017712787001318,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,0.5617012279055724,0,1
0,1,0,0,-0.055833672077855064,1,1,1.1695164781979852,0.3994213267126657,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,0.6295034509247036,0,1
1,0,0,0,-0.0965540357978854,1,1,0.6493740171459885,0.06917240275291298,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,0.2866670626845801,0,1
1,0,0,0,0.8400143297628127,1,0,-1.3348116010523623,-0.44276751065358283,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,-0.6144060894678661,0,0
0,0,0,0,-1.1145631287986442,1,1,0.8172155141627669,-0.8035889070205448,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,0.25856733090753864,1,1
1,1,0,0,0.758573602322752,1,1,0.4931650991303729,0.7473294405105175,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,0.25015205194673923,0,1
0,0,1,0,1.5729808767233588,1,0,0.8155537171626008,1.8130394732525068,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,0.45165385799966296,0,1
0,0,0,1,1.1657772395230555,1,1,-1.3215172250510334,-0.3459289283789064,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,-0.6065105357618645,0,0
1,1,0,0,-0.9924020376385531,1,1,0.3236618051134285,-0.739640565819328,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,0.1019583941089749,0,1
1,0,1,0,-0.9109613101984924,1,1,-0.32610082195152557,-0.7562843522417365,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,-0.15503918885729387,0,0
0,0,1,0,-0.8295205827584317,0,1,-0.49560411596847015,-0.7349608805122317,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,-0.22453902081955132,0,0
1,0,1,0,1.369379058123207,1,0,-0.030300955921955676,0.8753144188621417,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,0.04060177412009657,0,0
1,0,0,0,-0.3408762181180675,1,0,-0.143303151933252,-0.3713581617457692,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,-0.05807408688937135,0,0
0,0,1,1,-1.1552834925186746,1,0,-0.27458511494637583,-0.9036282174533767,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,-0.23196463776024182,1,0
0,0,0,0,-1.1552834925186746,1,1,0.8039211381614382,-0.8506064999644839,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,0.16170652453177564,1,1
0,0,0,1,0.10704778280226633,1,0,-0.304497460949366,-0.1171982720009264,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,-0.0845837915108259,0,0
0,1,0,0,0.5142514200025698,1,1,0.6959043331506402,0.66053452245626,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,0.34350669764034897,0,1
1,0,0,0,1.3286586944031769,1,1,1.503537675231376,2.144149282716867,False,True,True,False,False,True,False,False,False,True,False,True,False,True,False,True,True,False,True,False,False,0.7700999620251939,0,1
0,0,1,1,-0.748079855318371,1,1,0.5363718211346925,-0.49848225459278583,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.25698303119806465,0,1
0,0,1,1,1.1657772395230555,0,1,-0.467353566965646,0.35620045958391794,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,-0.18609836813997369,0,0
1,0,1,1,1.4508197855632678,1,0,0.5180920541328647,1.365599750729668,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,0.27414904918962,0,1
0,0,1,1,-0.38159658183809786,1,1,-0.23304018994222275,-0.4410678136316658,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,-0.12654724717770863,0,0
0,0,0,0,0.9214550572028734,1,1,0.5579751821368518,0.9834328086459039,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,0.3171883712660873,0,1
1,0,1,1,1.4915401492832983,1,0,-1.3397969920528607,-0.24886960623125357,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,-0.6003026135648104,0,0
0,0,1,0,-1.0331224013585834,1,0,0.5480044001358552,-0.7513177050997711,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,0.1858397795890196,0,1
0,0,1,1,1.6137012404433893,1,0,0.4748853321285456,1.5225678744030724,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.28401565949547347,0,1
0,0,1,1,1.1657772395230555,1,1,-0.5005895069689685,0.2999780139368696,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,-0.21976253410240315,0,0
1,1,1,0,1.2879383306831464,1,0,0.5164302571326987,1.2077928155389541,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,0.26258901478543367,0,1
0,1,1,0,-0.015113308357824713,1,1,0.9451738831755587,0.2865570296599142,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,0.4530786102854164,0,1
0,0,0,0,-1.2774445836787656,1,1,0.4915033021302069,-0.9723003919362849,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,-0.35070516943408303,1,1
1,0,0,0,-1.1960038562387048,1,1,0.5829021371393436,-0.912766848194593,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,-0.12412299546709121,1,1
1,0,0,1,-1.1960038562387048,1,0,-1.481049737066981,-0.9850812305816093,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,-0.7952651310148896,1,0
0,0,1,0,1.6137012404433893,1,1,0.6526976111463211,1.684039091485192,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,0.36613057948697897,0,1
0,0,0,1,-0.2594354906780068,0,1,-1.1619847130350858,-0.6601962855351793,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,-0.5251754161756612,0,0
1,0,0,0,0.26992923768238775,1,1,1.1861344481996465,0.6709534444607385,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,0.5550908739453538,0,1
0,0,0,0,-1.2774445836787656,1,0,-1.502653098069141,-0.9987891766934337,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,-0.8423843896156203,1,0
0,0,0,0,-1.2774445836787656,1,1,-1.504314895069307,-0.9988112506807314,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,-0.8427941222991049,1,0
0,0,1,1,0.9621754209229036,1,0,0.8022593411612722,1.185851272165116,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,0.42586765503773016,0,1
0,1,1,0,0.43281069256250915,1,1,1.422109622223236,0.9942049144471443,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,True,False,False,True,False,0.6862165071881619,0,1
0,0,0,1,-1.2774445836787656,1,0,-1.3082228490497045,-0.9962065201796118,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,-0.7944456656479204,1,0
1,0,0,0,-0.13727439951791576,1,0,0.20401242110146783,-0.14008899682856255,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False,True,False,False,0.07069123777372673,0,1
1,0,0,0,-1.2367242199587352,1,1,0.572931355138347,-0.9259008706366793,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,0.006171997881016216,1,1
1,0,0,0,1.4508197855632678,1,0,0.4931650991303729,1.4036994528053672,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,0.29464755967351697,0,1
1,0,1,1,1.4100994218432374,1,1,0.8238627021634315,1.806174463202946,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,0.5334497576805992,0,1
0,0,1,1,-0.5444780367182193,1,1,-1.3248408190513656,-0.8009400285448298,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,-0.6193259167265962,0,0
1,0,1,1,1.369379058123207,0,1,-0.2662761299455452,0.6297633841633722,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,True,False,False,-0.09545393844954092,0,0
0,0,1,0,-1.1552834925186746,0,1,-1.1869116680375775,-0.9502043306513634,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,-0.5777790226212564,1,0
0,0,1,1,-0.9516816739185228,1,0,-1.4960059100684764,-0.9144223972419148,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,-0.6573491097539683,0,0
1,1,1,0,0.8400143297628127,1,1,1.2991366442109427,1.4143170406955243,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,0.6622906017010453,0,1
0,0,0,0,-0.38159658183809786,1,1,-1.504314895069307,-0.7998363291799486,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,-0.6814960225673284,0,0
0,0,1,0,0.7178532386027215,1,0,1.4553455622265583,1.4695903048887748,False,True,True,False,False,True,False,True,False,False,False,True,False,True,False,True,True,False,False,True,False,0.8004588897514061,0,1
1,0,0,0,-1.2367242199587352,1,0,0.3386179781149237,-0.9404255542785159,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,-0.173564072607568,1,1
0,0,1,0,1.0843365120829946,1,0,-1.4760643460664828,-0.4480652676050126,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,-0.6565023288747669,0,0
1,0,1,1,1.247217966963116,1,0,0.6227852651433307,1.3920223135249241,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,True,False,True,True,False,False,0.38922084035369503,0,1
0,0,1,0,-0.30015585439803716,1,1,0.2089978121019659,-0.1961127765899322,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,0.15581898104908914,0,1
0,0,0,0,-0.748079855318371,1,1,0.5214156481331973,-0.5341538180657461,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,0.16869929566324657,0,1
1,0,1,0,1.3286586944031769,1,0,0.07605405208867606,0.8951589334427056,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,0.06756981969408943,0,0
1,1,1,0,1.4915401492832983,0,0,-0.2729233179462098,0.7375948121122654,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,True,True,False,False,-0.07714421664355528,0,0
0,0,1,1,-0.46303730927815856,1,1,0.3087056321119333,-0.3161952674890068,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.16380733574527875,0,1
1,0,1,1,0.43281069256250915,1,1,0.8803638001690798,0.7645912985772596,False,True,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,0.49248744475148226,0,1
1,1,1,0,1.5729808767233588,1,1,0.9052907551715716,1.8998123173194665,False,True,True,False,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,True,False,0.49639439074349695,0,1
1,0,0,1,-0.5444780367182193,0,1,-1.3098846460498705,-0.7574984215431059,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,-0.5386905246168241,0,0
0,0,0,0,0.3106496014024181,1,0,-1.4993295040688086,-0.6408815466497583,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,-0.6707063952355669,0,0
0,0,0,0,-0.9516816739185228,1,1,0.6161380771426661,-0.6527794258031776,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,0.3139631897146585,0,1
1,0,0,0,1.0436161483629645,1,1,1.2791950802089493,1.6492504875041365,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,True,False,False,False,False,0.6690222550545666,0,1
0,0,0,0,-1.2774445836787656,1,0,-1.491020519067978,-0.9986346587823504,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,-0.839516260831228,1,0
1,0,1,1,0.5956921474426305,1,1,1.6182016682428386,1.3402808872992935,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,False,False,0.8131405180039644,0,1
0,0,1,0,1.0436161483629645,1,1,0.6493740171459885,1.163070917273968,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,0.363111666791901,0,1
1,0,0,0,0.3106496014024181,1,1,1.259253516206956,0.8062449126078759,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,True,0.6395987395880599,0,1
0,0,0,0,0.35136996512244845,1,1,0.12756975909382579,0.262739197365778,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False,True,False,0.12009719496990506,0,0
1,0,1,0,1.4100994218432374,1,1,1.2010906212011416,1.9651292457331362,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,True,True,False,True,False,False,0.6202287298503846,0,1
1,1,0,0,0.06632741908223598,1,1,1.1661928841976528,0.46851290695422887,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,True,False,False,True,False,0.5628933549037112,0,1
1,0,0,0,-1.1960038562387048,1,1,-1.517609271070636,-0.9839996052040256,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,-0.7852266802695166,1,0
0,1,1,0,1.125056875803025,1,1,1.7046151122514768,2.0502244667654765,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,0.8582413393688402,0,1
0,1,0,0,-0.9924020376385531,1,1,0.9086143491719036,-0.6851619651687919,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,0.3266740080734256,0,1
1,0,1,1,-0.7073594915983407,1,1,0.33695618111475767,-0.5185916570209212,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.13160141561274372,0,1
